Date,Clicks,Impressions,CTR,Position
2026-06-20,1,59,1.69%,13.1
2026-06-21,1,76,1.32%,9.5
2026-06-22,1,61,1.64%,10.2
2026-06-23,0,70,0%,11.2
2026-06-24,1,66,1.52%,8.3
2026-06-25,0,54,0%,8.6
2026-06-26,0,42,0%,8.3
2026-06-27,0,45,0%,9.9
2026-06-28,0,55,0%,9.6
2026-06-29,1,70,1.43%,8.4
2026-06-30,2,59,3.39%,9
2026-07-01,2,66,3.03%,8.1
2026-07-02,1,51,1.96%,7.1
2026-07-03,1,35,2.86%,10.8
2026-07-04,0,38,0%,9.1
2026-07-05,3,64,4.69%,9.6
2026-07-06,2,76,2.63%,6.3
2026-07-07,1,58,1.72%,9.1
2026-07-08,2,47,4.26%,7.6
2026-07-09,1,63,1.59%,6.8
2026-07-10,3,34,8.82%,7.3
2026-07-11,0,48,0%,9.3
2026-07-12,1,66,1.52%,7.7
2026-07-13,1,62,1.61%,9.8
2026-07-14,2,76,2.63%,8.9
2026-07-15,0,39,0%,11.8
2026-07-16,5,42,11.9%,10.8
2026-07-17,0,28,0%,8.9
2026-07-18,0,25,0%,6.8
2026-07-19,0,27,0%,6.2
2026-07-20,2,43,4.65%,12.1
2026-07-21,0,50,0%,8.5
2026-07-22,2,52,3.85%,8.6
2026-07-23,0,41,0%,10.6
2026-07-24,0,16,0%,9.9
2026-07-25,1,36,2.78%,8.4
2026-07-26,1,35,2.86%,7.9
2026-07-27,0,38,0%,8.1
2026-07-28,1,20,5%,14.7
2026-07-29,2,54,3.7%,12.7
2026-07-30,2,82,2.44%,9.6
2026-07-31,2,51,3.92%,10.7
2026-08-01,0,49,0%,9.9
2026-08-02,1,64,1.56%,10.3
2026-08-03,2,55,3.64%,9.1
2026-08-04,3,36,8.33%,7.2
2026-08-05,0,57,0%,12.3
2026-08-06,0,50,0%,7.7
2026-08-07,1,27,3.7%,8.8
2026-08-08,0,38,0%,9.8
2026-08-09,0,43,0%,11.6
2026-08-10,1,38,2.63%,9.6
2026-08-11,1,53,1.89%,15.6
2026-08-12,0,64,0%,11.3
2026-08-13,1,54,1.85%,11.9
2026-08-14,1,36,2.78%,10.9
2026-08-15,2,36,5.56%,9.4
2026-08-16,1,41,2.44%,12.1
2026-08-17,3,49,6.12%,9.2
2026-08-18,0,32,0%,8.9
2026-08-19,1,40,2.5%,7.3
2026-08-20,2,44,4.55%,11.2
2026-08-21,0,14,0%,12.8
2026-08-22,1,22,4.55%,13.4
2026-08-23,0,20,0%,11.8
2026-08-24,0,20,0%,10.6
2026-08-25,6,45,13.33%,10.6
2026-08-26,1,38,2.63%,12.6
2026-08-27,0,44,0%,13.6
2026-08-28,0,24,0%,24.5
2026-08-29,0,22,0%,26.7
2026-08-30,1,47,2.13%,12.6
2026-08-31,2,34,5.88%,7.6
2026-09-01,1,58,1.72%,7.6
2026-09-02,0,35,0%,6.9
2026-09-03,1,25,4%,11.9
2026-09-04,1,27,3.7%,9.6
2026-09-05,2,23,8.7%,10.7
2026-09-06,3,38,7.89%,9.5
2026-09-07,0,42,0%,9
2026-09-08,1,45,2.22%,10.2
2026-09-09,2,32,6.25%,10.8
2026-09-10,1,23,4.35%,6.4
2026-09-11,1,18,5.56%,13.3
2026-09-12,0,34,0%,12.6
2026-09-13,0,33,0%,6.4
2026-09-14,0,56,0%,7.8
2026-09-15,1,36,2.78%,5.3
2026-09-16,0,34,0%,6.4
2026-09-17,4,32,12.5%,7.3
2026-09-18,0,14,0%,11.6
2026-09-19,0,16,0%,5.6
