Country,Clicks,Impressions,CTR,Position
Israel,89,3298,2.7%,9.04
United States,1,253,0.4%,11.04
Germany,1,32,3.12%,9.25
Brazil,1,22,4.55%,4.55
Mexico,1,4,25%,12.75
Panama,1,1,100%,1
United Kingdom,0,55,0%,20.18
Palestine,0,38,0%,7.82
Netherlands,0,32,0%,7.34
India,0,31,0%,18.97
Vietnam,0,16,0%,25.94
Thailand,0,12,0%,17.92
Spain,0,11,0%,7.27
Canada,0,9,0%,14.78
Greece,0,8,0%,5.62
Italy,0,8,0%,6.88
Gibraltar,0,8,0%,31.88
Denmark,0,8,0%,54.5
Philippines,0,7,0%,37.71
Turkey,0,7,0%,43.71
Sweden,0,6,0%,4
Saudi Arabia,0,5,0%,11.2
Malaysia,0,5,0%,14.4
United Arab Emirates,0,5,0%,14.8
Switzerland,0,4,0%,2.5
Australia,0,4,0%,5.75
Portugal,0,4,0%,6.5
Slovakia,0,4,0%,7.25
Hungary,0,4,0%,11.25
Algeria,0,4,0%,28.75
Jordan,0,4,0%,29.5
Bangladesh,0,4,0%,50.25
Russia,0,3,0%,2
Peru,0,3,0%,3
Hong Kong,0,3,0%,5.33
Japan,0,3,0%,5.67
Poland,0,3,0%,5.67
Cyprus,0,3,0%,10.67
Indonesia,0,3,0%,24.67
Morocco,0,3,0%,33.67
Argentina,0,2,0%,2
Serbia,0,2,0%,2
Czechia,0,2,0%,4
Colombia,0,2,0%,4.5
Pakistan,0,2,0%,4.5
Chile,0,2,0%,5
Singapore,0,2,0%,5.5
South Korea,0,2,0%,6
China,0,2,0%,7
France,0,2,0%,7
Georgia,0,2,0%,9.5
Slovenia,0,2,0%,9.5
Finland,0,2,0%,21
Egypt,0,2,0%,24
South Africa,0,1,0%,1
Zambia,0,1,0%,2
Kenya,0,1,0%,3
Romania,0,1,0%,3
Ukraine,0,1,0%,3
Kazakhstan,0,1,0%,6
Taiwan,0,1,0%,6
Guatemala,0,1,0%,7
Norway,0,1,0%,7
Trinidad & Tobago,0,1,0%,8
Austria,0,1,0%,9
Lithuania,0,1,0%,9
